activity_name,category
Bottom ash MSWI[F] scrap aluminium (market for bottom ash MSWI[F] scrap aluminium),Waste Management
Maintenance - refrigeration machine (market for maintenance - refrigeration machine),Vehicles
Express package box,Paper Products
Stretch blow moulding (market for stretch blow moulding),Chemical Products
Other electronic parts and equipment merchant wholesalers,Wholesale Trade
Membership organisation services (not elsewhere specified),Organizational Activities
Vinasse - from fermentation of sugar beet (market for vinasse - from fermentation of sugar beet),Arable Farming
Heat and power co-generation unit - 200kw electrical - common components for heat+electricity (market for heat and power co-generation unit - 200kW electrical - common components for heat+electricity),Construction
Propylene glycol - liquid (market for propylene glycol - liquid),Chemical Products
Hog and pig farming,Livestock Farming
Concrete pipe non-reinforced,Building Materials
Compact fluorescent lamp 18W (excluding control gear),Electrical Equipment
Solid waste landfill,Waste Management
Concrete - 30% pfa cement replacement - with total cementitious content of 320 kg per m3 of concrete,Building Materials
Phenolic resin (market for phenolic resin),Chemical Products
Mineral pre-made mortar - rendering and plastering mortar normal/finishing render or plaster with special properties,Building Materials
Concrete - 30% pfa cement replacement - with total cementitious content of 460 kg per m3 of concrete,Building Materials
Boat building,Vehicles
Aluminium sheet - European Mix - Inc Imports,Metals
Wholesale trade,Wholesale Trade
Phosphatic fertilizer manufacturing,Recreation and Culture
Orthophthalic acid based unsaturated polyester resin (market for orthophthalic acid based unsaturated polyester resin),Chemical Products
Building joinery,Building Materials
Plastics materials and basic forms and shapes merchant wholesalers,Wholesale Trade
Paper - woodcontaining - lightweight coated (market for paper - woodcontaining - lightweight coated),Paper and Cardboard
Furnace - pellets - 9kw (market for furnace - pellets - 9kW),Machinery
Bottom ash MSWI[F]-WWT rainwater mineral oil storage (market for bottom ash MSWI[F]-WWT rainwater mineral oil storage),Waste Management
Meat products (pork),Food/Beverages/Tobacco
Pyridazine-compound (market for pyridazine-compound),Chemical Products
Hydrogen peroxide - without water - in 50% solution state (market for hydrogen peroxide - without water - in 50% solution state),Chemical Products
Housing system - cattle - tied - per animal unit (market for housing system - cattle - tied - per animal unit),Construction
Bottom ash MSWI-WWT-SLF waste emulsion paint (market for bottom ash MSWI-WWT-SLF waste emulsion paint),Waste Management
Automotive glass replacement shops,Vehicle Maintenance and Services
Diesel and biodiesel fuels,Fuel
Bottom ash MSWI-WWT WW from ceramic production (market for bottom ash MSWI-WWT WW from ceramic production),Waste Management
Office supplies and stationery stores,General Retail
Aluminium hydroxide (market for aluminium hydroxide),Chemical Products
Bottom ash MSWI-WWT-SLF inert waste (market for bottom ash MSWI-WWT-SLF inert waste),Waste Management
Tea,Food/Beverages/Tobacco
Fresh and frozen pork,Food/Beverages/Tobacco
Mercury (market for mercury),Metals
Residues MSWI-WWT rainwater mineral oil storage (market for residues MSWI-WWT rainwater mineral oil storage),Waste Management
Bottom ash MSWI[F] waste polystyrene (market for bottom ash MSWI[F] waste polystyrene),Waste Management
General industrial machinery,Machinery
Electric motor - vehicle (market for electric motor - vehicle),Vehicle Parts
Pharmacies and drug stores,Health Care
Steel,Metals
Polyester-complexed starch biopolymer (market for polyester-complexed starch biopolymer),Chemical Products
Soap (market for soap),Chemical Products
Inverter - 2.5kw (market for inverter - 2.5kW),Electronics
Timber - Laminate - Including Carbon Storage,Timber and Forestry Products
Cherries,Arable Farming
Cashew nut,Food/Beverages/Tobacco
Bitumen seal - v60 (market for bitumen seal - V60),Building Materials
Housing system - pig - per pig place - electricity from renewable energy products (market for housing system - pig - per pig place - electricity from renewable energy products),Construction
Aluminium removed by milling - large parts (market for aluminium removed by milling - large parts),Metals
Concrete pipe/bricks and blocks,Building Materials
Sawnwood - board - hardwood - dried (u=10%) - planed (market for sawnwood - board - hardwood - dried (u=10%) - planed),Timber and Forestry Products
Furnace - wood chips - hardwood storage area - 300kw (market for furnace - wood chips - hardwood storage area - 300kW),Storage
Motor vehicles and parts - retail margins,General Retail
Photovoltaic slanted-roof installation - 3kwp - multi-si - laminated - integrated - on roof (market for photovoltaic slanted-roof installation - 3kWp - multi-Si - laminated - integrated - on roof),Construction
Bottom ash MSWI[F]-WWT WW from concrete production (market for bottom ash MSWI[F]-WWT WW from concrete production),Waste Management
Cocoa bean (market for cocoa bean),Arable Farming
Grant-making / civic and professional and similar organization services,Organizational Activities
6-benzyladenine (market for 6-benzyladenine),Chemical Products
Diphenylether-compound (market for diphenylether-compound),Chemical Products
Aluminous cement,Building Materials
Shelving and lockers,Furnishings and Household
Aluminium - alloys - bars / rods,Metals
Concrete - 70% ggbs cement replacement - with total cementitious content of 440 kg per m3 of concrete,Building Materials
Oats,Arable Farming
Floor plates,Building Materials
Acrylic dispersion with water in 58% solution state (market for acrylic dispersion with water in 58% solution state),Chemical Products
Hairdressing and personal grooming services,Personal Care and Accessories
Analytical laboratory instruments,Electronics
Company and enterprise management,Professional Services and Activities
Tetrafluoroethylene (market for tetrafluoroethylene),Chemical Products
Residential mortgage intermediation services indirectly measured (fisim),Financial Services
Peaches and nectarines,Arable Farming
Home furniture - wood/nonupholstered,Furnishings and Household
Forest nurseries and gathering of forest products,Timber and Forestry Products
Residues MSWI[F]-WWT-SLF waste plastic mixture (market for residues MSWI[F]-WWT-SLF waste plastic mixture),Waste Management
Wool cloth strips,Textiles
Soda ash - dense (market for soda ash - dense),Chemical Products
Solar glass - low-iron (market for solar glass - low-iron),Glass and Glass Products
Guided missile and space vehicle propulsion unit and propulsion unit parts manufacturing,Vehicle Parts
2-pyridinol (market for 2-pyridinol),Chemical Products
Walnuts,Arable Farming
Bottom ash MSWI residue from mechanical treatment laptop computer (market for bottom ash MSWI residue from mechanical treatment laptop computer),Waste Management
Diammonium phosphate,Chemical Products
Support services for mining and quarrying (except exploration),Mining
Cotton ginning,Agriculture/Hunting/Forestry/Fishing
Hot water tank factory (market for hot water tank factory),Construction
Control cabinet - heat and power co-generation unit - 160kw electrical (market for control cabinet - heat and power co-generation unit - 160kW electrical),Electrical Equipment
Wastewater - unpolluted (market for wastewater - unpolluted),Water Treatment
Cement CEM II/B-L (market for cement CEM II/B-L),Building Materials
Sweetening - natural gas (market for sweetening - natural gas),Fuel
Drinking water and wastewater treatment,Water Treatment
Potatoes (dry),Food/Beverages/Tobacco
Monochloropentafluoroethane (market for monochloropentafluoroethane),Chemical Products
Aluminium removed by turning - primarily roughing - conventional (market for aluminium removed by turning - primarily roughing - conventional),Metals
Steel - low-alloyed (market for steel - low-alloyed),Metals
Toner - black - powder (market for toner - black - powder),Chemical Products
Residues MSWI[F]-WWT WW average (market for residues MSWI[F]-WWT WW average),Waste Management
Maintenance - ferry (market for maintenance - ferry),Vehicles
Stemmed / redried or reconstituted tobacco,Food/Beverages/Tobacco
Cement CEM IV/B - 46% cement replacement - Pozzolanic cement,Building Materials
Wireless telecommunications carriers (except satellite),Information and Communication Services
Musical groups and artists,Recreation and Culture
Manure - liquid - cattle (market for manure - liquid - cattle),Livestock Farming
Bakery products,Food/Beverages/Tobacco
Air separation facility (market for air separation facility),Construction
Beer,Food/Beverages/Tobacco
Other NP fertilisers (excl. nitrates phosphates),Chemical Products
1:1:2 cement:sand:aggregate with Ordinary Portland Cement (OPC) - CEM I,Building Materials
Propylene oxide - liquid (market for propylene oxide - liquid),Chemical Products
Institutional furniture,Furnishings and Household
Rock crushing (market for rock crushing),Machinery
Concrete of compressive strength class C 25/30,Building Materials
Silica fume - densified (market for silica fume - densified),Building Materials
Auxiliary heating unit - electric - 5kw (market for auxiliary heating unit - electric - 5kW),Machinery
Asbestos - crysotile type (market for asbestos - crysotile type),Mined Materials
Radio/television and communication equipment and apparatus,Electrical Equipment
Retail trade of motor fuel (services),Fuel
Compressed natural gas CNG,Fuel
Bottom ash MSWI residue from shredder fraction from manual dismantling (market for bottom ash MSWI residue from shredder fraction from manual dismantling),Waste Management
Rye grain - feed - swiss integrated production (market for rye grain - feed - Swiss integrated production),Arable Farming
Concrete block - cellular - high density - average strength - 100 mm thickness - 440 mm length - 215 mm width,Building Materials
Rutile - 95% titanium dioxide (market for rutile - 95% titanium dioxide),Metals
Residues MSWI[F]-WWT WW from wafer fabrication (market for residues MSWI[F]-WWT WW from wafer fabrication),Waste Management
Other personal care services,Personal Care and Accessories
Clay and ceramic products,Ceramic Goods
Mortar (1:0.5:4.5 Cement:Lime:Sand mix - Using CEM I cement),Building Materials
Chlorine for reuse in zirconium and hafnium tetrachloride production (market for chlorine for reuse in zirconium and hafnium tetrachloride production),Chemical Products
Rare earth oxide concentrate - 50% reo (market for rare earth oxide concentrate - 50% REO),Metals
Vinasse - from fermentation of sugar beet molasses (market for vinasse - from fermentation of sugar beet molasses),Arable Farming
Mineral oil (closed-loop recycled source),Mined Materials
Timber - Plywood - No Carbon Storage,Timber and Forestry Products
Petrol - average biofuel blend,Fuel
Palm date - organic (market for palm date - organic),Arable Farming
Sewage sludge 75% water WWT WW from grass refinery (market for sewage sludge 75% water WWT WW from grass refinery),Waste Management
Bio-LNG diesel ship,Fuel
Tomatoes bottled passate/puree,Food/Beverages/Tobacco
Railway transport freight services,Rail Freight
Other residential structures,Construction
Furniture and home furnishings - retail margins,General Retail
Shopping centres / plazas / malls and stores,Real Estate
Leachate SLF waste newspaper (market for leachate SLF waste newspaper),Waste Management
Specialized design,Professional Services and Activities
Motor homes,Vehicles
Baked beans,Food/Beverages/Tobacco
Other fresh or chilled fruit,Food/Beverages/Tobacco
Indium tin oxide powder - nanoscale - for sputtering target (market for indium tin oxide powder - nanoscale - for sputtering target),Metals
Gravel - round (market for gravel - round),Mined Materials
Sanitary paper (tissues/napkins/diapers/etc.),Paper Products
Kitchen and domestic utensils,Furnishings and Household
Paints,Chemical Products
Mortar (1:1:6 Cement:Lime:Sand mix - Using CEM I cement),Building Materials
Preserved milk,Food/Beverages/Tobacco
Wholesale margin,Wholesale Trade
Tissue paper (market for tissue paper),Paper and Cardboard
Concrete RC28/35 with 30% PFA cement,Building Materials
Iron steel - tubes pipes hollow hot-rolled flat,Metals
Dry / condensed and evaporated dairy products,Food/Beverages/Tobacco
Sewage sludge 75% water WWT WW from concrete production (market for sewage sludge 75% water WWT WW from concrete production),Waste Management
General freight trucking/local,Road Freight
Sugar cane/sugar beet,Arable Farming
Flavouring syrups / seasonings and dressings,Food/Beverages/Tobacco
Chromium steel removed by drilling - computer numerical controlled (market for chromium steel removed by drilling - computer numerical controlled),Metals
Credit bureaus,Professional Services and Activities
Bottom ash MSWI[F] copper in car shredder residue (market for bottom ash MSWI[F] copper in car shredder residue),Waste Management
Oil and gas field machinery and equipment manufacturing,Machinery
Cement - blast furnace slag 25-70% (market for cement - blast furnace slag 25-70%),Building Materials
Other edible animal fats,Food/Beverages/Tobacco
Other milk products,Food/Beverages/Tobacco
Magnesium sulfate (market for magnesium sulfate),Chemical Products
Excavation - hydraulic digger (market for excavation - hydraulic digger),Construction
Concrete - 30% pfa cement replacement - with total cementitious content of 240 kg per m3 of concrete,Building Materials
Sewage sludge 75% water WWT heat carrier liquid 40% C3H8O2 (market for sewage sludge 75% water WWT heat carrier liquid 40% C3H8O2),Waste Management
Site preparation contractors,Construction
Health insurance,Insurance Services
Glycerin distillate bottom (market for glycerin distillate bottom),Arable Farming
Bottom ash MSWI-WWT WW from PV cell production (market for bottom ash MSWI-WWT WW from PV cell production),Waste Management
Used vegetable cooking oil (market for used vegetable cooking oil),Waste Management
Gold - unrefined (market for gold - unrefined),Metals
80% grey wool serge,Textiles
Monoammonium phosphate,Chemical Products
Bottom ash MSWI[F] waste paint (market for bottom ash MSWI[F] waste paint),Waste Management
Briquettes,Fuel
Prepared vegetables,Food/Beverages/Tobacco
Double salts mixtures ammonium sulphate / nitrate,Chemical Products
Butter PP tub with LDPE lid,Food/Beverages/Tobacco
Heat distribution equipment - hydronic radiant floor heating - 150m2 (market for heat distribution equipment - hydronic radiant floor heating - 150m2),Machinery
Bottom ash MSWI[F]-WWT WW from black chrome coating (market for bottom ash MSWI[F]-WWT WW from black chrome coating),Waste Management
Bottom ash MSWI-WWT WW from pig iron production (market for bottom ash MSWI-WWT WW from pig iron production),Waste Management
Bottom ash MSWI[F]-WWT WW from potato starch production (market for bottom ash MSWI[F]-WWT WW from potato starch production),Waste Management
Clay powder,Building Materials
Sewage sludge 75% water WWT WW from particle board production (market for sewage sludge 75% water WWT WW from particle board production),Waste Management
Lime plaster,Building Materials
Lime interior plaster,Building Materials
Chemical factory (market for chemical factory),Construction
Stainless steel rebar,Fabricated Metal Products
Chloropropionic acid (market for chloropropionic acid),Chemical Products
Woven fabrics,Textiles
Ethylene dichloride (market for ethylene dichloride),Chemical Products
Methallylchloride (market for methallylchloride),Chemical Products
Residues MSWI-WWT-SLF wood ash mixture pure (market for residues MSWI-WWT-SLF wood ash mixture pure),Waste Management
Satellite telecommunications,Information and Communication Services
Snack and nonalcoholic beverage bars,Food and Beverage Services
Berry fruit/kiwifruit and grapes (fresh or chilled),Food/Beverages/Tobacco
Cement CEM IV/A - 23% cement replacement - Pozzolanic cement,Building Materials
Concrete RC28/35 with 14% limestone cement,Building Materials
Aluminium - wire,Metals
Processed fuel oils - residual oil,Fuel
Steel pipe,Fabricated Metal Products
Coal tar,Fuel
Compressed natural gas CNG - heavy duty vehicles - transport,Fuel
Waste polyethylene - for recycling - unsorted (market for waste polyethylene - for recycling - unsorted),Waste Management
Amine oxide (market for amine oxide),Chemical Products
Concrete - average UK cement replacement rate - with total cementitious content of 220 kg per m3 of concrete,Building Materials
Polyethylene - linear low density - granulate (market for polyethylene - linear low density - granulate),Chemical Products
Hazardous waste collection,Waste Management
Hafnium sponge (market for hafnium sponge),Metals
O-dichlorobenzene (market for o-dichlorobenzene),Chemical Products
Casino hotels,Accommodation
Mutton / lamb and hogget (fresh / chilled or frozen),Livestock Farming
"1,3-dichloropropene (market for 1,3-dichloropropene)",Chemical Products
Aircraft - dedicated freight - very short haul (market for aircraft - dedicated freight - very short haul),Vehicles
Thermal storage system - solar tower power plant - 20 mw (market for thermal storage system - solar tower power plant - 20 MW),Construction
Pig iron (market for pig iron),Metals
Calcium carbide - technical grade (market for calcium carbide - technical grade),Chemical Products
Meal services,Food and Beverage Services
Cement CEM II/A-L (market for cement CEM II/A-L),Building Materials
Concentrated detergent,Furnishings and Household
Potato seed - organic - at farm (market for potato seed - organic - at farm),Arable Farming
Selenium (market for selenium),Chemical Products
Straw - stand-alone production (market for straw - stand-alone production),Arable Farming
Sewage sludge 75% water WWT WW from tube collector production (market for sewage sludge 75% water WWT WW from tube collector production),Waste Management
Adobe,Building Materials
Ammonia and chemical fertilizers,Chemical Products
Silicon - electronics grade (market for silicon - electronics grade),Chemical Products
Barley grain - feed - organic (market for barley grain - feed - organic),Arable Farming
Real estate services/excl. on a fee or contract basis and imputed rent,Real Estate
Bottom ash MSWI wood ash mixture pure (market for bottom ash MSWI wood ash mixture pure),Waste Management
Sewage sludge 70% water WWT-SLF waste polyurethane (market for sewage sludge 70% water WWT-SLF waste polyurethane),Waste Management
Grain and field bean merchant wholesalers,Wholesale Trade
Cement CEM II/B-W - 28% fly ash calcareous - Portland-fly ash cement,Building Materials
Pigs,Livestock Farming
Cement Portland Slag (market for cement Portland Slag),Building Materials
Fibre / yarn and thread,Textiles
Other transportation equipment and related parts,Vehicle Parts
Family clothing stores,Clothing and Footwear
Expanded vermiculite (market for expanded vermiculite),Building Materials
Lime - packed (market for lime - packed),Mined Materials
Bottom ash MSWI[F] residue from mechanical treatment LCD (market for bottom ash MSWI[F] residue from mechanical treatment LCD),Waste Management
All other miscellaneous chemical product and preparation manufacturing,Chemical Products
Polyester textiles,Textiles
Concrete - 70% ggbs cement replacement - with total cementitious content of 320 kg per m3 of concrete,Building Materials
Recreational vehicle dealers,Vehicle Parts
Strawberries (heated greenhouse),Arable Farming
Mobile food services,Food and Beverage Services
Frozen brussels sprouts,Arable Farming
Building operation - upmarket hotel (market for building operation - upmarket hotel),Accommodation
Plastic profile EPDM,Plastics and Rubber Products
Residues MSWI[F] aluminium in car shredder residue (market for residues MSWI[F] aluminium in car shredder residue),Waste Management
Residues MSWI[F] waste plastic mixture (market for residues MSWI[F] waste plastic mixture),Waste Management
"2,3-dimethylbutan (market for 2,3-dimethylbutan)",Chemical Products
Wastewater - from residence (market for wastewater - from residence),Water Treatment
Heating oil,Fuel
Wind power plant - 800kw - fixed parts (market for wind power plant - 800kW - fixed parts),Construction
Other chemical and fertilizer mineral mining,Mined Materials
Concrete RC40/50 with 15% PFA cement,Building Materials
Direct health and medical insurance carriers,Insurance Services
Purified terephthalic acid (market for purified terephthalic acid),Chemical Products
Copper sulfate (market for copper sulfate),Chemical Products
Development Petrol,Fuel
Bisphenol a epoxy based vinyl ester resin (market for bisphenol A epoxy based vinyl ester resin),Chemical Products
Footwear nfd,Clothing and Footwear
Dog and cat food,Food/Beverages/Tobacco
Cement mortar (market for cement mortar),Building Materials
Bottom ash MSWI[F] lignite ash (market for bottom ash MSWI[F] lignite ash),Waste Management
Recreational goods rental,Consumer Goods Rental
Sodium hypochlorite - without water - in 15% solution state (market for sodium hypochlorite - without water - in 15% solution state),Chemical Products
Jewelry stores,Clothing and Footwear
New single-family housing construction (except for-sale builders),Construction
Silicone sealing compound,Plastics and Rubber Products
Basic iron and steel,Metals
Hill sheep,Livestock Farming
Anhydrite - burned (market for anhydrite - burned),Building Materials
Bottom ash MSWI LDPE/Alu in waste UHT milk carton (ambient) post-industrial (market for bottom ash MSWI LDPE/Alu in waste UHT milk carton (ambient) post-industrial),Waste Management
Grocery and related product wholesalers,Wholesale Trade
Maintenance - bicycle (market for maintenance - bicycle),Vehicles
Plastic kettle,Furnishings and Household
Ferrous metal castings,Metals
Bottom ash MSWI[F]-WWT-SLF waste paint (market for bottom ash MSWI[F]-WWT-SLF waste paint),Waste Management
Bottom ash MSWI-WWT-SLF waste polyethylene terephthalate (market for bottom ash MSWI-WWT-SLF waste polyethylene terephthalate),Waste Management
Breakfast cereal and other cereal products,Food/Beverages/Tobacco
Meat markets,Food/Beverages/Tobacco
Organophosphorus-compound - unspecified (market for organophosphorus-compound - unspecified),Chemical Products
Concrete admixtures – Retarders,Building Materials
Titanium (market for titanium),Metals
Lime (CaO Finelime),Building Materials
Casting - steel - lost-wax (market for casting - steel - lost-wax),Metals
Intral (market for intral),Mined Materials
Current-carrying wiring device manufacturing,Electrical Equipment
Nylon 6-6 - glass-filled (market for nylon 6-6 - glass-filled),Chemical Products
Biogas - from grass (market for biogas - from grass),Fuel
Gasoline - for use as fuel in an aircraft - transport,Fuel
Concrete - 40% pfa cement replacement - with total cementitious content of 220 kg per m3 of concrete,Building Materials
Charcoal,Other Materials
Bottom ash MSWI waste vapour barrier flame-retarded (market for bottom ash MSWI waste vapour barrier flame-retarded),Waste Management
Concrete GEN0 with 25% GGBS cement,Building Materials
Margarine PP tub with LDPE lid,Food/Beverages/Tobacco
Printing ink - offset - without solvent - in 47.5% solution state (market for printing ink - offset - without solvent - in 47.5% solution state),Chemical Products
Third party administration of insurance and pension funds,Insurance Services
Creamery butter manufacturing,Food/Beverages/Tobacco
Polyvinylfluoride - film (market for polyvinylfluoride - film),Chemical Products
Aluminium - household articles - foil,Metals
Carrots LDPE bag,Food/Beverages/Tobacco
Sewage sludge 97% water WWT-SLF waste graphical paper (market for sewage sludge 97% water WWT-SLF waste graphical paper),Waste Management
Other animal products,Livestock Farming
Milk and cream in solid or processed liquid form,Food/Beverages/Tobacco
Offices of other holding companies,Professional Services and Activities
Mine infrastructure - open cast - non-ferrous metal (market for mine infrastructure - open cast - non-ferrous metal),Construction
Oil mill (market for oil mill),Construction
Wallboard,Furnishings and Household
4-tert-butylbenzaldehyde (market for 4-tert-butylbenzaldehyde),Chemical Products
Sodium silicate - solid (market for sodium silicate - solid),Chemical Products
Sales of other services by non-profit institutions serving households,Non-profit Activities
Expanded perlite (market for expanded perlite),Building Materials
Nursing and residential care services,Health and Social Care
Automotive transmission repair,Vehicle Maintenance and Services
Vinyl carbonate (market for vinyl carbonate),Chemical Products
Pellet boiler 20-120kW,Electrical Equipment
Purchase of bicycles,Vehicles
Chemical - inorganic (market for chemical - inorganic),Chemical Products
Book stores,General Retail
Books/newspapers/magazines and other print media,Recreation and Culture
Wastewater from lorry production (market for wastewater from lorry production),Water Treatment
Concrete - average UK cement replacement rate - with total cementitious content of 100 kg per m3 of concrete,Building Materials
Capacitor - for surface-mounting (market for capacitor - for surface-mounting),Electronics
Wheat flour LDPE bag,Food/Beverages/Tobacco
Mattresses and foundations,Furnishings and Household
Concrete RC25/30 with 15% PFA cement,Building Materials
Tea table,Furnishings and Household
Plywood (market for plywood),Timber and Forestry Products
Gypsum plaster (gypsum lime plaster),Building Materials
Girls' clothing (excluding headwear and neckwear),Clothing and Footwear
Wheat seed - for sowing (market for wheat seed - for sowing),Arable Farming
Business support,Professional Services and Activities
Other fruit,Arable Farming
1:2:4 cement:sand:aggregate with UK average cement replacement rate,Building Materials
Vacuum cleaner (market for vacuum cleaner),Electrical Equipment
Manure - liquid - swine (market for manure - liquid - swine),Livestock Farming
Support activities for coal mining,Mined Materials
Stone wool - packed (market for stone wool - packed),Building Materials
Ammonium carbonate (market for ammonium carbonate),Chemical Products
Computer - desktop - without screen (market for computer - desktop - without screen),Electronics
Crude petroleum and services related to crude oil extraction (excluding surveying),Mined Materials
Steel window fitting,Fabricated Metal Products
Refinery feedstocks,Fuel
Ethylamine (market for ethylamine),Chemical Products
Plug - inlet and outlet - for network cable (market for plug - inlet and outlet - for network cable),Electronics
Steel alloy - bars rods hot-rolled coils,Metals
Pottery/ceramics and plumbing fixture manufacturing,Ceramic Goods
Gas boiler (market for gas boiler),Machinery
All other health and personal care stores,Health Care
Palladium (market for palladium),Metals
Crude petroleum,Fuel
Other cut and sew apparel manufacturing,Clothing and Footwear
Property maintenance services,Maintenance and Repair
Aluminium - other - cast,Metals
Libraries/archives/museums and other cultural services,Recreation and Culture
Sawnwood - hardwood - dried (u=10%) - planed (market for sawnwood - hardwood - dried (u=10%) - planed),Timber and Forestry Products
Blow moulding (market for blow moulding),Chemical Products
Drafting services,Professional Services and Activities
Bottom ash MSWI-WWT-SLF waste aluminium (market for bottom ash MSWI-WWT-SLF waste aluminium),Waste Management
Data processing/hosting and related services,Information and Communication Services
Cement - pozzolana and fly ash 15-40% (market for cement - pozzolana and fly ash 15-40%),Building Materials
Wheat seed - organic - for sowing (market for wheat seed - organic - for sowing),Arable Farming
Polyurethane - flexible foam (market for polyurethane - flexible foam),Chemical Products
Figs,Arable Farming
Home health care services,Health Care
Vegetable oil esterification facility (market for vegetable oil esterification facility),Construction
Fibre cement corrugated slab (market for fibre cement corrugated slab),Building Materials
Furnace - logs - softwood storage area - 6kw (market for furnace - logs - softwood storage area - 6kW),Storage
Fresh fruits and tree nuts,Food/Beverages/Tobacco
Aluminium oxide - metallurgical (market for aluminium oxide - metallurgical),Metals
Glass tube factory (market for glass tube factory),Construction
Concrete - 40% pfa cement replacement - with total cementitious content of 440 kg per m3 of concrete,Building Materials
Sewage sludge 75% water WWT WW average (market for sewage sludge 75% water WWT WW average),Waste Management
Iron foundries,Metals
Wastewater treatment facility - capacity 5e9l/year (market for wastewater treatment facility - capacity 5E9l/year),Construction
Nursery and tree production,Arable Farming
Paper - woodfree - uncoated (market for paper - woodfree - uncoated),Paper and Cardboard
Jewellery and watches,Personal Care and Accessories
Copper-rich materials (market for copper-rich materials),Metals
Process/physical distribution and logistics consulting services,Professional Services and Activities
Trusts/estates and agency accounts,Financial Services
Lumber/plywood/millwork and wood panel merchant wholesalers,Wholesale Trade
Steel - Plate,Metals
Concrete - Ordinary Portland Cement (OPC) concrete - CEM I based - with total cementitious content of 380 kg per m3 of concrete,Building Materials
Sales of clothing nfd,Clothing and Footwear
Lubricants,Chemical Products
Inverter - 500kw (market for inverter - 500kW),Electronics
Jeans,Clothing and Footwear
Cassava and other roots,Arable Farming
Solar collector system - cu flat plate collector - one-family house - hot water (market for solar collector system - Cu flat plate collector - one-family house - hot water),Electrical Equipment
Bottom ash MSWI[F] biowaste (market for bottom ash MSWI[F] biowaste),Waste Management
Bottom ash MSWI biowaste (market for bottom ash MSWI biowaste),Waste Management
Bio-LNG HPDI - heavy duty road,Fuel
Bottom ash MSWI-WWT[U] WW from lorry production (market for bottom ash MSWI-WWT[U] WW from lorry production),Waste Management
Food and drink (Primary material production),Food/Beverages/Tobacco
Concrete RC40/50 with 35% natural pozzolanic ash cement,Building Materials
Electric heat pump (water-water) 10kW,Electrical Equipment
Synthetic gas factory (market for synthetic gas factory),Construction
Yarn - silk (market for yarn - silk),Textiles
Electrolyte - koh - lioh additive (market for electrolyte - KOH - LiOH additive),Metals
Electronic component machinery - unspecified (market for electronic component machinery - unspecified),Machinery
Other sound recording industries,Recreation and Culture
Dimethylamine (market for dimethylamine),Chemical Products
Asphalt,Fuel
Book publishers,Recreation and Culture
"1,1-dimethylcyclopentane (market for 1,1-dimethylcyclopentane)",Chemical Products
Other municipal government services,Government Activities
Food waste for treatment: biogasification and land application,Waste Management
Concrete - 50% ggbs cement replacement - with total cementitious content of 100 kg per m3 of concrete,Building Materials
Transportation of natural gas by pipeline,Infrastructure
Bottom ash MSWI[F] residue from mechanical treatment laser printer (market for bottom ash MSWI[F] residue from mechanical treatment laser printer),Waste Management
Quinoa,Arable Farming
Ready-mixed concrete,Building Materials
"2,3-dimethylbutane (market for 2,3-dimethylbutane)",Chemical Products
Electrolyte - for li-ion battery (market for electrolyte - for Li-ion battery),Metals
Caterers,Food and Beverage Services
Wood (Re-used),Timber and Forestry Products
Mining and oil/gas field machinery,Machinery
Packaging glass - white (market for packaging glass - white),Glass and Glass Products
Shellfish fishing,Fishing/Aquaculture/Hunting
Actual rentals for housing,Real Estate
PVC Plastisol,Plastics and Rubber Products
Hydroquinone (market for hydroquinone),Chemical Products
Metal working - average for steel product manufacturing (market for metal working - average for steel product manufacturing),Metals
Ambulance services,Health and Social Care
Consumer goods and general rental centers,Consumer Goods Rental
Copper,Metals
Gadolinium oxide (market for gadolinium oxide),Metals
Cream PP tub with LDPE lid,Food/Beverages/Tobacco
Solid wood flooring,Furnishings and Household
Chemical factory - organics (market for chemical factory - organics),Construction
Polyethylene - low density - granulate (market for polyethylene - low density - granulate),Chemical Products
Chipboard - melamine faced,Timber and Forestry Products
Broilers and other meat type chicken production,Livestock Farming
Fibre - cotton (market for fibre - cotton),Arable Farming
Ink and ink cartridges,Recreation and Culture
Sodium hydrogen sulfite (market for sodium hydrogen sulfite),Chemical Products
Other manufactured goods,Manufacturing
Ships and boats,Vehicles
General merchandise stores,General Retail
Wood,Timber and Forestry Products
Potatoes,Arable Farming
Other education services,Education
Pyrolysis fuel oil (market for pyrolysis fuel oil),Fuel
Charger - electric passenger car (market for charger - electric passenger car),Electronics
General purpose software,Information and Communication Services
Automatic environmental control manufacturing for residential/commercial and appliance use,Electronics
Urea formaldehyde foam slab - hard (market for urea formaldehyde foam slab - hard),Plastics and Rubber Products
Structural metal products and other fabricated metal products,Fabricated Metal Products
Biomethane - high pressure (market for biomethane - high pressure),Fuel
Gasoline-type jet fuel,Fuel
Natural gas liquids,Fuel
Concrete GEN 3 with 50% GGBS cement,Building Materials
Electrical machinery and apparatus (not elsewhere specified),Electrical Equipment
Screws/nuts and bolts,Fabricated Metal Products
Operation - housing system - pig - fully-slatted floor - per pig place (market for operation - housing system - pig - fully-slatted floor - per pig place),Livestock Farming
Heat pump - for mini chp plant (market for heat pump - for mini CHP plant),Electrical Equipment
Aluminium - tubes / pipes,Metals
Concrete - high exacting requirements (market for concrete - high exacting requirements),Building Materials
Sodium arsenide (market for sodium arsenide),Chemical Products
Potassium carbonate (market for potassium carbonate),Chemical Products
Concrete pipe manufacturing,Building Materials
Metamitron (market for metamitron),Chemical Products
Radio and television broadcasting and wireless communications equipment manufacturing,Electronics
